Kernel Name,device,codenmae,exeArgs,source,sample,model_type,Demangled Name,lines_of_code,opcode_IMAD,opcode_MOV,opcode_BRA,opcode_ISETP,opcode_IADD3,opcode_LDG,opcode_LEA,opcode_FSETP,opcode_BSSY,opcode_BSYNC,opcode_SHF,opcode_LDS,opcode_STG,opcode_SEL,opcode_BREAK,opcode_NOP,opcode_FSEL,opcode_STS,opcode_BAR,opcode_S2R,opcode_PRMT,opcode_EXIT,opcode_LOP3,opcode_FMUL,opcode_IMNMX,opcode_CALL,opcode_ULDC,opcode_FADD,opcode_HFMA2,opcode_LDC,opcode_UMOV,opcode_UIADD3,opcode_S2UR,opcode_ULEA,opcode_UIMAD,opcode_R2UR,opcode_UISETP,opcode_USHF,opcode_VIADD,opcode_USEL,opcode_PLOP3,opcode_FFMA,opcode_F2I,opcode_FCHK,opcode_FRND,opcode_P2R,opcode_I2FP,opcode_I2F,opcode_ULOP3,opcode_YIELD,opcode_WARPSYNC,opcode_DADD,opcode_MUFU,opcode_VIADDMNMX,opcode_SHFL,opcode_ATOMG,opcode_VOTE,opcode_ENDCOLLECTIVE,opcode_DFMA,opcode_DMUL,opcode_CS2R,opcode_ATOMS,opcode_REDUX,opcode_UFLO,opcode_VOTEU,opcode_IABS,opcode_HMMA,opcode_DSETP,opcode_R2P,opcode_F2F,opcode_LD,opcode_ST,opcode_LDL,opcode_STL,opcode_BMOV,opcode_RET,opcode_VIMNMX,opcode_FMNMX,opcode_VIMNMX3,opcode_UP2UR,opcode_POPC,opcode_UPRMT,opcode_FLO,opcode_FSET,opcode_HADD2,opcode_F2FP,opcode_HMUL2,opcode_HSET2,opcode_BRX,opcode_DEPBAR,opcode_VABSDIFF4,opcode_BREV,opcode_UBREV,opcode_HMNMX2,opcode_HSETP2,opcode_UPLOP3,opcode_CCTL,opcode_ERRBAR,opcode_MEMBAR,opcode_CGAERRBAR,opcode_B2R,opcode_UPOPC,opcode_SGXT,opcode_MATCH,opcode_ATOM,opcode_QSPC,opcode_NANOSLEEP,opcode_USGXT,opcode_BRXU,opcode_F2IP
_Z10QTC_devicePfPcS0_PiS1_S1_S_S1_iiifiii,3080,qtclustering,--Verbose,qtclustering-cuda,1,cuda,"QTC_device(float *, char *, char *, int *, int *, int *, float *, int *, int, int, int, float, int, int, int)",1480,310.0,242.0,200,169.0,95.0,80.0,71.0,54.0,45.0,45.0,34.0,29.0,19.0,14.0,14.0,13,13.0,10.0,8.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10QTC_devicePfPcS0_PiS1_S1_S_S1_iiifiii,A10,qtclustering,--Verbose,qtclustering-cuda,1,cuda,"QTC_device(float *, char *, char *, int *, int *, int *, float *, int *, int, int, int, float, int, int, int)",1480,310.0,242.0,200,169.0,95.0,80.0,71.0,54.0,45.0,45.0,34.0,29.0,19.0,14.0,14.0,13,13.0,10.0,8.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10QTC_devicePfPcS0_PiS1_S1_S_S1_iiifiii,A100,qtclustering,--Verbose,qtclustering-cuda,1,cuda,"QTC_device(float *, char *, char *, int *, int *, int *, float *, int *, int, int, int, float, int, int, int)",1472,304.0,225.0,200,169.0,93.0,80.0,71.0,54.0,45.0,45.0,33.0,29.0,19.0,14.0,14.0,11,13.0,10.0,8.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10QTC_devicePfPcS0_PiS1_S1_S_S1_iiifiii,H100,qtclustering,--Verbose,qtclustering-cuda,1,cuda,"QTC_device(float *, char *, char *, int *, int *, int *, float *, int *, int, int, int, float, int, int, int)",1704,310.0,234.0,200,167.0,93.0,80.0,75.0,54.0,45.0,45.0,30.0,29.0,19.0,13.0,14.0,11,13.0,10.0,8.0,3.0,3.0,2.0,2.0,1.0,,,71.0,1.0,6.0,51.0,39.0,19.0,18.0,17.0,6.0,4.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10Relu_impl1iPKiPi,3080,relu,10000000 100000,relu-cuda,1,cuda,"Relu_impl1(int, const int *, int *)",40,10.0,1.0,1,1.0,,1.0,,,,,3.0,,1.0,,,10,,,,2.0,1.0,2.0,2.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SimulationPfS_PKfS1_Pmmjif,3080,particle-diffusion,10 5,particle-diffusion-cuda,1,cuda,"Simulation(float *, float *, const float *, const float *, unsigned long *, unsigned long, unsigned int, int, float)",472,53.0,54.0,26,12.0,58.0,17.0,10.0,25.0,17.0,17.0,14.0,,7.0,,,14,,,,3.0,,2.0,1.0,6.0,,11.0,3.0,30.0,,,1.0,1.0,,,2.0,,,1.0,,,,55.0,10.0,10.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SimulationPfS_PKfS1_Pmmjif,A10,particle-diffusion,10 5,particle-diffusion-cuda,1,cuda,"Simulation(float *, float *, const float *, const float *, unsigned long *, unsigned long, unsigned int, int, float)",472,53.0,54.0,26,12.0,58.0,17.0,10.0,25.0,17.0,17.0,14.0,,7.0,,,14,,,,3.0,,2.0,1.0,6.0,,11.0,3.0,30.0,,,1.0,1.0,,,2.0,,,1.0,,,,55.0,10.0,10.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SimulationPfS_PKfS1_Pmmjif,A100,particle-diffusion,10 5,particle-diffusion-cuda,1,cuda,"Simulation(float *, float *, const float *, const float *, unsigned long *, unsigned long, unsigned int, int, float)",464,56.0,41.0,26,12.0,53.0,17.0,10.0,25.0,17.0,17.0,13.0,,7.0,,,12,,,,2.0,,2.0,1.0,6.0,,11.0,3.0,30.0,11.0,,1.0,1.0,,,2.0,,,1.0,,,,55.0,10.0,10.0,10.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SimulationPfS_PKfS1_Pmmjif,H100,particle-diffusion,10 5,particle-diffusion-cuda,1,cuda,"Simulation(float *, float *, const float *, const float *, unsigned long *, unsigned long, unsigned int, int, float)",472,55.0,37.0,26,12.0,51.0,17.0,10.0,25.0,17.0,17.0,15.0,,7.0,,,10,,,,1.0,,2.0,1.0,6.0,,10.0,13.0,30.0,11.0,5.0,,3.0,1.0,,1.0,,,1.0,,,,55.0,10.0,10.0,10.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Z10SortKerneliiPiPKiPViS_S_,3080,bh,300 30,bh-cuda,1,cuda,"SortKernel(int, int, int *, const int *, volatile int *, int *, int *)",208,43.0,7.0,25,26.0,23.0,17.0,,,7.0,7.0,1.0,,30.0,,,13,,,1.0,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
