"source","exePath","kernel_executed","eteProfilerXtime","CC","Kernel Name","traffic","dpAI","spAI","hpAI","dpPerf","spPerf","hpPerf","xtime","Block Size","Grid Size","device","SP_FLOP","DP_FLOP","HP_FLOP","INTOP","intPerf","intAI","targetName","exeArgs","runtime","kernelMangled","kernelName","kernelDemangled","kernelProfiler"
"accuracy-cuda","/workspace/build/bin/cuda/accuracy","normal",2.490933565000006,8.6,"_Z15accuracy_kerneliiiPKfPKiPi",646258894396.69,0.0,0.0,0.0,0.0,0.0,0.0,509984.0,"(256, 1, 1)","(2048, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,562998344.0,1103952955386.8357,1.7082209079960478,"accuracy","8192 10000 10 100","cuda","_Z15accuracy_kerneliiiPKfPKiPi","accuracy_kernel(int, int, int, const float *, const int *, int *)","accuracy_kernel(int, int, int, const float *, const int *, int *)","accuracy_kernel(int, int, int, const float *, const int *, int *)"
"accuracy-omp","/workspace/build/bin/omp/accuracy","normal",2.464671934999984,8.6,"__omp_offloading_51_8e15ba_main_l57",529118151476.25,0.0,0.0,0.0,0.0,0.0,0.0,623200.0,"(128, 1, 1)","(2048, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,1003934630.0,1610934900513.4785,3.044565558786707,"accuracy","8192 10000 10 100","omp","__omp_offloading_51_8e15ba_main_l57","__omp_offloading_51_8e15ba_main_l57","omp_offloading_51_8e15ba_main:l57","__omp_offloading_51_8e15ba_main_l57"
"ace-cuda","/workspace/build/bin/cuda/ace","normal",16.328367806999978,8.6,"_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd",66191416671.41,3.3368891913632313,0.16140624380648744,0.0,220873422851.84802,10683707937.1624,0.0,35395872.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",378159158.0,7818007403.0,0.0,7015186244.0,198192214165.53885,2.9942283173876203,"ace","100","cuda","_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd","calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)","calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)","calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)"
"ace-cuda","/workspace/build/bin/cuda/ace","normal",16.328367806999978,8.6,"_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd",63934749129.92,4.09398101009882,0.24392261836040166,0.0,261747648823.3245,15595131411.985498,0.0,56601728.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",882711386.0,14815369223.0,0.0,14761009836.0,260787264940.03857,4.078959697020163,"ace","100","cuda","_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd","allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)","allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)","allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)"
"ace-cuda","/workspace/build/bin/cuda/ace","normal",16.328367806999978,8.6,"_Z21boundaryConditionsPhiPA400_A400_d",58295429880.62,0.0,0.0,0.0,0.0,0.0,0.0,265376.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,1084807196.0,4087811995056.0713,70.12234069509867,"ace","100","cuda","_Z21boundaryConditionsPhiPA400_A400_d","boundaryConditionsPhi(double (*)[400][400])","boundaryConditionsPhi(double (*)[400][400])","boundaryConditionsPhi(double (*)[400][400])"
"ace-cuda","/workspace/build/bin/cuda/ace","normal",16.328367806999978,8.6,"_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd",83222050589.36,3.109644968534407,0.16402066600849152,0.0,258791030886.3192,13650136164.259201,0.0,27718080.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",378355566.0,7173190497.0,0.0,6858070226.0,247422268281.2085,2.973037392482151,"ace","100","cuda","_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd","thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)","thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)","thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)"
"ace-cuda","/workspace/build/bin/cuda/ace","normal",16.328367806999978,8.6,"_Z19boundaryConditionsUPA400_A400_dd",56560975609.76,0.061943984280855055,0.0,0.0,3503612184.0807996,0.0,0.0,272896.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",0.0,956121.0,0.0,1084647196.0,3974580778025.328,70.27072526909323,"ace","100","cuda","_Z19boundaryConditionsUPA400_A400_dd","boundaryConditionsU(double (*)[400][400], double)","boundaryConditionsU(double (*)[400][400], double)","boundaryConditionsU(double (*)[400][400], double)"
"ace-cuda","/workspace/build/bin/cuda/ace","normal",16.328367806999978,8.6,"_Z8swapGridPA400_A400_dS1_",614882338945.3,0.0,0.0,0.0,0.0,0.0,0.0,3362336.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,768000000.0,228412627411.41873,0.37147371609861496,"ace","100","cuda","_Z8swapGridPA400_A400_dS1_","swapGrid(double (*)[400][400], double (*)[400][400])","swapGrid(double (*)[400][400], double (*)[400][400])","swapGrid(double (*)[400][400], double (*)[400][400])"
"ace-omp","/workspace/build/bin/omp/ace","normal",14.747582869000013,8.6,"__omp_offloading_51_8e15d1__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117",96634283142.87,2.4145450976946465,0.11995240703802708,0.0,233327834631.85318,11591514865.3815,0.0,32782432.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",379998047.0,7649053872.0,0.0,9124162628.0,278324763336.65546,2.8801865578612844,"ace","100","omp","__omp_offloading_51_8e15d1__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117","__omp_offloading_51_8e15d1__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117","Z14calculateForcePA400_A400_dS1_S1_S1_dddddd:l117","__omp_offloading_51_8e15d1__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117"
"ace-omp","/workspace/build/bin/omp/ace","normal",14.747582869000013,8.6,"__omp_offloading_51_8e15d1__Z21boundaryConditionsPhiPA400_A400_d_l180",29009078212.29,0.0,0.0,0.0,0.0,0.0,0.0,549888.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,2243038020.0,4079081594797.486,140.61396797742233,"ace","100","omp","__omp_offloading_51_8e15d1__Z21boundaryConditionsPhiPA400_A400_d_l180","__omp_offloading_51_8e15d1__Z21boundaryConditionsPhiPA400_A400_d_l180","Z21boundaryConditionsPhiPA400_A400_d:l180","__omp_offloading_51_8e15d1__Z21boundaryConditionsPhiPA400_A400_d_l180"
