"source","exePath","kernel_executed","eteProfilerXtime","CC","Kernel Name","traffic","dpAI","spAI","hpAI","dpPerf","spPerf","hpPerf","xtime","Block Size","Grid Size","device","SP_FLOP","DP_FLOP","HP_FLOP","INTOP","intPerf","intAI","targetName","exeArgs","runtime","kernelMangled","kernelName","kernelDemangled","kernelProfiler"
"accuracy-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/accuracy","normal",2.4776559580004687,8.6,"_Z15accuracy_kerneliiiPKfPKiPi",647016710642.04,0.0,0.0,0.0,0.0,0.0,0.0,509376.0,"(256, 1, 1)","(2048, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,562998344.0,1105270652720.191,1.7082567336219519,"accuracy","8192 10000 10 100","cuda","_Z15accuracy_kerneliiiPKfPKiPi","accuracy_kernel(int, int, int, const float *, const int *, int *)","accuracy_kernel(int, int, int, const float *, const int *, int *)","accuracy_kernel(int, int, int, const float *, const int *, int *)"
"accuracy-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/accuracy","normal",2.3115442520002034,8.6,"__omp_offloading_10305_2b800b0_main_l57",534901531056.38,0.0,0.0,0.0,0.0,0.0,0.0,624928.0,"(128, 1, 1)","(2048, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,1003934630.0,1606480474550.668,3.003320015513922,"accuracy","8192 10000 10 100","omp","__omp_offloading_10305_2b800b0_main_l57","__omp_offloading_10305_2b800b0_main_l57","omp_offloading_10305_2b800b0_main:l57","__omp_offloading_10305_2b800b0_main_l57"
"ace-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/ace","normal",16.626606397000614,8.6,"_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd",66106999049.54,3.3357347346891015,0.16135040242107648,0.0,220515412935.61002,10666390899.493,0.0,35452128.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",378146255.0,7817740645.0,0.0,7015186244.0,197877719611.07666,2.9932945445426866,"ace","100","cuda","_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd","calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)","calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)","calculateForce(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double)"
"ace-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/ace","normal",16.626606397000614,8.6,"_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd",64280083108.37,4.071983455712499,0.24261198671599474,0.0,261747434949.10712,15595118669.1909,0.0,56600800.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",882696192.0,14815114216.0,0.0,14761009836.0,260791540684.9373,4.057112686759723,"ace","100","cuda","_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd","allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)","allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)","allenCahn(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double, double, double, double)"
"ace-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/ace","normal",16.626606397000614,8.6,"_Z21boundaryConditionsPhiPA400_A400_d",58456072507.55,0.0,0.0,0.0,0.0,0.0,0.0,264800.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,1084807196.0,4096703912386.7065,70.08175090547846,"ace","100","cuda","_Z21boundaryConditionsPhiPA400_A400_d","boundaryConditionsPhi(double (*)[400][400])","boundaryConditionsPhi(double (*)[400][400])","boundaryConditionsPhi(double (*)[400][400])"
"ace-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/ace","normal",16.626606397000614,8.6,"_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd",83631787666.61,3.09453002349197,0.16322341636178644,0.0,258801077852.6301,13650666099.3876,0.0,27717920.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",378368070.0,7173427571.0,0.0,6858070226.0,247423696511.1379,2.9584886729609137,"ace","100","cuda","_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd","thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)","thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)","thermalEquation(double (*)[400][400], double (*)[400][400], double (*)[400][400], double (*)[400][400], double, double, double, double, double)"
"ace-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/ace","normal",16.626606397000614,8.6,"_Z19boundaryConditionsUPA400_A400_dd",56875176636.83,0.061681481761023144,0.0,0.0,3508145170.3795996,0.0,0.0,271744.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",0.0,953317.0,0.0,1084647196.0,3991430154851.6245,70.17877377926138,"ace","100","cuda","_Z19boundaryConditionsUPA400_A400_dd","boundaryConditionsU(double (*)[400][400], double)","boundaryConditionsU(double (*)[400][400], double)","boundaryConditionsU(double (*)[400][400], double)"
"ace-cuda","/home/gbolet/gpuFLOPBench-updated/build/bin/cuda/ace","normal",16.626606397000614,8.6,"_Z8swapGridPA400_A400_dS1_",611590477542.71,0.0,0.0,0.0,0.0,0.0,0.0,3380640.0,"(8, 8, 4)","(50, 50, 100)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,768000000.0,227175919352.5486,0.37145104067890583,"ace","100","cuda","_Z8swapGridPA400_A400_dS1_","swapGrid(double (*)[400][400], double (*)[400][400])","swapGrid(double (*)[400][400], double (*)[400][400])","swapGrid(double (*)[400][400], double (*)[400][400])"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","normal",14.858219705999545,8.6,"__omp_offloading_10305_2b800c7__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117",96775808845.85,2.4105357787976875,0.11975322771736231,0.0,233281549745.0072,11589215474.249002,0.0,32788448.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",379992388.0,7648939963.0,0.0,9124162628.0,278273696516.5292,2.875446868749806,"ace","100","omp","__omp_offloading_10305_2b800c7__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117","__omp_offloading_10305_2b800c7__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117","Z14calculateForcePA400_A400_dS1_S1_S1_dddddd:l117","__omp_offloading_10305_2b800c7__Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117"
"ace-omp","/home/gbolet/gpuFLOPBench-updated/build/bin/omp/ace","normal",14.858219705999545,8.6,"__omp_offloading_10305_2b800c7__Z21boundaryConditionsPhiPA400_A400_d_l180",28954038997.21,0.0,0.0,0.0,0.0,0.0,0.0,551424.0,"(256, 1, 1)","(3200, 1, 1)","NVIDIA GeForce RTX 3080",0.0,0.0,0.0,2243038020.0,4067719250522.284,140.4888364940811,"ace","100","omp","__omp_offloading_10305_2b800c7__Z21boundaryConditionsPhiPA400_A400_d_l180","__omp_offloading_10305_2b800c7__Z21boundaryConditionsPhiPA400_A400_d_l180","Z21boundaryConditionsPhiPA400_A400_d:l180","__omp_offloading_10305_2b800c7__Z21boundaryConditionsPhiPA400_A400_d_l180"
