program_name,kernel_mangled_name,has_branching,has_data_dependent_branching,has_flop_division,uses_preprocessor_defines,has_common_float_subexpr,has_loop_invariant_flops,has_special_math_functions,calls_device_function,has_rng_input_data,reads_input_values_from_file,has_constant_propagatable_gridsz,has_constant_propagatable_blocksz
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,True,True,False,True,False,False,False,True,True,False,True,True
accuracy-omp,main_l57,True,True,False,True,False,False,False,False,True,False,True,True
ace-cuda,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd,True,True,True,True,True,False,False,True,False,False,True,True
ace-cuda,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd,True,False,True,False,True,False,False,True,False,False,True,True
ace-cuda,_Z19boundaryConditionsUPA400_A400_dd,True,False,False,False,False,False,False,False,False,False,True,True
ace-cuda,_Z21boundaryConditionsPhiPA400_A400_d,True,False,False,False,False,False,False,False,False,False,True,True
ace-cuda,_Z8swapGridPA400_A400_dS1_,True,False,False,False,False,False,False,False,False,False,True,True
ace-cuda,_Z9allenCahnPA400_A400_dS1_S1_S1_S1_S1_dddddddd,True,True,True,False,False,False,False,True,False,False,True,True
ace-omp,_Z14calculateForcePA400_A400_dS1_S1_S1_dddddd_l117,True,True,True,True,True,True,False,True,False,False,False,True
ace-omp,_Z15thermalEquationPA400_A400_dS1_S1_S1_ddddd_l214,False,False,True,True,False,False,False,True,False,False,False,True
ace-omp,_Z19boundaryConditionsUPA400_A400_dd_l230,True,False,False,True,False,False,False,False,False,False,False,True
ace-omp,_Z21boundaryConditionsPhiPA400_A400_d_l180,True,False,False,True,False,False,False,False,False,False,False,True
ace-omp,_Z8swapGridPA400_A400_dS1__l261,False,False,False,True,False,False,False,False,False,False,False,True
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,True,False,True,False,False,True,True,False,True,False,True,True
adam-omp,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf_l25,True,False,True,False,False,True,True,False,True,False,False,True
adamw-cuda,_Z17fused_4bit_kernelIfLi64EEvPT_PKS0_S1_S1_PaS4_fffffflffffff,True,True,True,False,True,False,True,True,True,False,True,True
adamw-omp,_Z17fused_4bit_kernelIfLi64EEviiPT_PKS0_S1_S1_PaS4_fffffflffffff_l135,True,True,True,False,True,True,True,True,True,False,True,True
addBiasQKV-cuda,_Z22FP8TrtAddQKVBiasKernel21FP8TrtAddQKVBiasParamI13__nv_fp8_e4m313__nv_bfloat16E,False,False,False,False,False,False,False,True,False,False,False,False
addBiasResidualLayerNorm-cuda,_Z28addBiasResidualPostLayerNormI6__halfLi1EEvPT_PKS1_S4_S4_S4_fi,True,True,True,False,True,False,True,True,True,False,True,True
addBiasResidualLayerNorm-cuda,_Z28addBiasResidualPostLayerNormI6__halfLi2EEvPT_PKS1_S4_S4_S4_fi,True,True,True,False,True,False,True,True,True,False,True,False
addBiasResidualLayerNorm-cuda,_Z30addBiasResidualPostLayerNormV2I6__halfEvPT_PKS1_S4_S4_S4_fi,True,True,True,False,False,False,True,True,True,False,False,False
addBiasResidualLayerNorm-cuda,_Z35generalAddBiasResidualPostLayerNormI6__halfEvPT_PKS1_S4_S4_S4_fi,True,True,True,False,True,False,True,True,True,False,False,False
adjacent-cuda,_Z18BlockAdjDiffKernelILi128EEvPKiPib,True,True,False,False,False,False,False,True,False,False,True,True
