program_name,kernel_mangled_name,gpu,model_name,evidence,precision,hard_easy,bound_class,proximity_band,n_trials,pred_rai_cv,pred_rai_logstd,bbcb_consistent,nz_consistent,mean_ape,std_ape
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,GPT OSS,source+SASS,fp16,easy,BB,far,4,2.0,4.9987503165854374e-05,1.0,0.0,99.9016244116053,0.19675117678941234
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,GPT OSS,source-only,fp16,easy,BB,far,4,0.0,0.0,1.0,1.0,100.0,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,3080,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,44.47985349441355,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,3080,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,76.27482111534533,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,A10,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,70.65615916254774,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,A10,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,99.74324139267229,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,A100,GPT OSS,source+SASS,fp16,hard,BB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,A100,GPT OSS,source+SASS,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,53.966880793138536,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,A100,GPT OSS,source-only,fp16,hard,BB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,A100,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,52.798071125776815,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,H100,GPT OSS,source+SASS,fp16,hard,CB,near,3,0.0,0.0,1.0,1.0,100.0,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,H100,GPT OSS,source+SASS,fp32,hard,CB,far,3,0.0,1.0877919644084146e-15,1.0,1.0,49.21118134714527,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,H100,GPT OSS,source-only,fp16,hard,CB,near,4,0.0,0.0,1.0,1.0,100.0,0.0
adam-cuda,_Z4adamIffEvPT_S1_S1_PKT0_fffffim10adamMode_tf,H100,GPT OSS,source-only,fp32,hard,CB,far,4,0.0,0.0,1.0,1.0,51.51976401318412,0.0
