program_name,kernel_mangled_name,gpu,model_name,use_sass,cost_usd
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,3080,GPT 5.4,False,0.01431
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,3080,GPT 5.4,True,0.022224
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,3080,GPT OSS,False,0.000595605
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,3080,GPT OSS,True,0.000537643
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,3080,Opus 4.6,False,0.06322
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,3080,Opus 4.6,True,0.074595
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A10,GPT 5.4,False,0.014885
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A10,GPT 5.4,True,0.022319
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A10,GPT OSS,False,0.000654919
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A10,GPT OSS,True,0.000575487
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A10,Opus 4.6,False,0.07024
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A10,Opus 4.6,True,0.07794
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,GPT 5.4,False,0.0216575
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,GPT 5.4,True,0.0279275
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,GPT OSS,False,0.000579796
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,GPT OSS,True,0.000570696
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,Opus 4.6,False,0.065205
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,A100,Opus 4.6,True,0.080985
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,H100,GPT 5.4,False,0.020845
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,H100,GPT 5.4,True,0.0282625
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,H100,GPT OSS,True,0.000606396
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,H100,Opus 4.6,False,0.06748
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,H100,Opus 4.6,True,0.08582
accuracy-omp,main_l57,3080,GPT 5.4,False,0.016113
accuracy-omp,main_l57,3080,GPT 5.4,True,0.048235
accuracy-omp,main_l57,3080,GPT OSS,True,0.000941851
accuracy-omp,main_l57,3080,Opus 4.6,False,0.06213
accuracy-omp,main_l57,3080,Opus 4.6,True,0.131295
accuracy-omp,main_l57,A10,GPT 5.4,False,0.015558
accuracy-omp,main_l57,A10,GPT 5.4,True,0.042424
accuracy-omp,main_l57,A10,GPT OSS,False,0.000551065
accuracy-omp,main_l57,A10,GPT OSS,True,0.001057897
accuracy-omp,main_l57,A10,Opus 4.6,False,0.05683
accuracy-omp,main_l57,A10,Opus 4.6,True,0.128895
accuracy-omp,main_l57,A100,GPT 5.4,False,0.0169155
accuracy-omp,main_l57,A100,GPT 5.4,True,0.041879
accuracy-omp,main_l57,A100,GPT OSS,False,0.000496652
accuracy-omp,main_l57,A100,GPT OSS,True,0.000931297
accuracy-omp,main_l57,A100,Opus 4.6,False,0.05537
accuracy-omp,main_l57,A100,Opus 4.6,True,0.136425
accuracy-omp,main_l57,H100,GPT 5.4,False,0.016298
accuracy-omp,main_l57,H100,GPT 5.4,True,0.047279
accuracy-omp,main_l57,H100,GPT OSS,False,0.00151935
accuracy-omp,main_l57,H100,GPT OSS,True,0.001069295
accuracy-omp,main_l57,H100,Opus 4.6,False,0.059995
