program_name,kernel_mangled_name,kernel_demangled_name,runtime,gpu,precision,expected_rai,balance_point,dist_pct,bound_class,proximity_band,hard,mixed,stratum
accuracy-cuda,_Z15accuracy_kerneliiiPKfPKiPi,"accuracy_kernel(int, int, int, const float *, const int *, int *)",cuda,A100,fp16,0.025408,50.141479,-99.95,BB,far,False,False,fp16|BB|far
adjacent-omp,_Z18BlockAdjDiffKernelILi128EEvPKiPibi_l42,"void BlockAdjDiffKernel<(int)128>(const int *, int *, bool, int):l42",omp,H100,fp16,0.51014,39.827381,-98.72,BB,far,False,False,fp16|BB|far
affine-omp,main_l80,main:l80,omp,A100,fp16,2.392846,50.141479,-95.23,BB,far,True,True,fp16|BB|far
affine-omp,main_l80,main:l80,omp,H100,fp16,9.838317,39.827381,-75.3,BB,far,True,True,fp16|BB|far
aligned-types-omp,_Z7runTestI14uchar4_alignedEiPhS1_ii_l196,"int runTest<uchar4_aligned>(unsigned char *, unsigned char *, int, int):l196",omp,A100,fp16,0.571477,50.141479,-98.86,BB,far,False,False,fp16|BB|far
aligned-types-omp,_Z7runTestI17uchar4_misalignedEiPhS1_ii_l196,"int runTest<uchar4_misaligned>(unsigned char *, unsigned char *, int, int):l196",omp,A100,fp16,0.579639,50.141479,-98.84,BB,far,False,False,fp16|BB|far
aop-cuda,_Z24compute_final_sum_kernelILi128EEviidPd,"void compute_final_sum_kernel<(int)128>(int, int, double, double *)",cuda,A100,fp16,0.010286,50.141479,-99.98,BB,far,True,True,fp16|BB|far
aop-omp,_Z19compute_beta_kernelILi128E9PayoffPutEviT0_PKdS3_S3_PKiPd_l648,"void compute_beta_kernel<(int)128, PayoffPut>(int, T2, const double *, const double *, const double *, const int *, double *):l648",omp,A100,fp16,0.245125,50.141479,-99.51,BB,far,True,True,fp16|BB|far
atan2-omp,_Z9compute_fiPKfS0_Pf_l269,"compute_f(int, const float *, const float *, float *):l269",omp,A100,fp16,1.805287,50.141479,-96.4,BB,far,True,True,fp16|BB|far
atomicCost-omp,_Z19woAtomicOnGlobalMemIdEvPT_ii_l14,"void woAtomicOnGlobalMem<double>(T1 *, int, int):l14",omp,A100,fp16,0.509838,50.141479,-98.98,BB,far,False,True,fp16|BB|far
